frame,time_seconds,track_id,u,v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,score
421,7.016667,0,1886.85,1289.84,1854.20,1035.31,1919.49,1289.84,0.533
422,7.033333,0,1875.17,1283.13,1831.10,945.36,1919.25,1283.13,0.697
423,7.050000,0,1859.74,1288.14,1800.01,936.97,1919.46,1288.14,0.821
424,7.066667,0,1851.99,1284.37,1784.62,918.66,1919.36,1284.37,0.858
425,7.083333,0,1842.37,1279.69,1765.32,914.22,1919.41,1279.69,0.849
426,7.100000,0,1834.76,1268.78,1750.51,906.60,1919.01,1268.78,0.849
427,7.116667,0,1828.76,1261.52,1738.12,842.87,1919.40,1261.52,0.885
428,7.133333,0,1823.26,1258.29,1727.24,821.49,1919.28,1258.29,0.888
429,7.150000,0,1819.77,1251.64,1720.35,689.34,1919.20,1251.64,0.902
430,7.166667,0,1816.85,1249.92,1714.51,687.91,1919.19,1249.92,0.907
431,7.183333,0,1814.96,1248.56,1710.67,688.82,1919.24,1248.56,0.908
432,7.200000,0,1814.50,1246.88,1709.37,688.31,1919.64,1246.88,0.912
433,7.216667,0,1814.36,1245.22,1709.09,685.86,1919.63,1245.22,0.915
434,7.233333,0,1813.15,1245.49,1707.02,684.00,1919.29,1245.49,0.910
435,7.250000,0,1811.98,1244.77,1704.31,683.53,1919.64,1244.77,0.920
436,7.266667,0,1811.92,1245.34,1704.13,682.38,1919.70,1245.34,0.912
437,7.283333,0,1811.30,1245.15,1702.89,679.87,1919.72,1245.15,0.914
438,7.300000,0,1810.10,1244.94,1700.47,680.61,1919.73,1244.94,0.920
439,7.316667,0,1809.08,1243.98,1698.68,677.52,1919.49,1243.98,0.916
440,7.333333,0,1808.55,1244.15,1697.68,676.10,1919.43,1244.15,0.914
441,7.350000,0,1808.07,1243.42,1696.87,676.01,1919.27,1243.42,0.919
442,7.366667,0,1806.58,1243.58,1693.93,676.51,1919.23,1243.58,0.925
443,7.383333,0,1807.32,1242.74,1695.35,675.56,1919.28,1242.74,0.925
444,7.400000,0,1807.89,1243.12,1696.40,674.44,1919.37,1243.12,0.923
445,7.416667,0,1808.50,1264.85,1697.41,672.45,1919.59,1264.85,0.928
446,7.433333,0,1802.69,1256.85,1685.85,669.97,1919.53,1256.85,0.936
447,7.450000,0,1795.59,1247.57,1671.68,667.52,1919.51,1247.57,0.933
448,7.466667,0,1787.64,1238.74,1657.93,665.90,1917.35,1238.74,0.923
449,7.483333,0,1770.11,1224.88,1643.02,663.25,1897.21,1224.88,0.916
450,7.500000,0,1757.05,1234.71,1632.26,659.28,1881.84,1234.71,0.932
451,7.516667,0,1748.08,1221.60,1619.57,658.44,1876.58,1221.60,0.914
452,7.533333,0,1737.11,1211.62,1603.52,657.57,1870.71,1211.62,0.917
453,7.550000,0,1728.71,1232.57,1591.21,656.10,1866.21,1232.57,0.923
454,7.566667,0,1718.45,1235.27,1582.51,656.55,1854.38,1235.27,0.928
455,7.583333,0,1710.55,1235.12,1570.96,656.60,1850.13,1235.12,0.925
456,7.600000,0,1705.29,1235.92,1563.57,657.20,1847.01,1235.92,0.922
457,7.616667,0,1702.69,1235.74,1556.03,657.71,1849.35,1235.74,0.919
458,7.633333,0,1698.38,1235.93,1543.34,658.60,1853.41,1235.93,0.927
459,7.650000,0,1696.06,1236.47,1535.10,659.80,1857.01,1236.47,0.935
460,7.666667,0,1693.52,1236.95,1527.60,660.95,1859.44,1236.95,0.936
461,7.683333,0,1689.55,1235.98,1520.29,664.44,1858.81,1235.98,0.940
462,7.700000,0,1684.02,1234.87,1510.04,665.13,1858.01,1234.87,0.938
463,7.716667,0,1679.71,1227.75,1502.74,666.12,1856.69,1227.75,0.933
464,7.733333,0,1675.70,1225.52,1496.47,668.13,1854.93,1225.52,0.936
465,7.750000,0,1672.93,1233.94,1491.70,668.73,1854.16,1233.94,0.941
466,7.766667,0,1669.98,1234.34,1488.38,670.02,1851.58,1234.34,0.939
467,7.783333,0,1667.37,1232.98,1485.47,672.94,1849.28,1232.98,0.939
468,7.800000,0,1663.73,1232.36,1484.10,671.54,1843.37,1232.36,0.937
469,7.816667,0,1660.91,1232.41,1483.44,672.99,1838.38,1232.41,0.939
470,7.833333,0,1656.92,1231.19,1482.75,671.70,1831.09,1231.19,0.939
471,7.850000,0,1651.10,1228.77,1479.37,671.96,1822.84,1228.77,0.934
472,7.866667,0,1645.36,1221.56,1480.50,671.72,1810.22,1221.56,0.936
473,7.883333,0,1641.42,1218.14,1481.76,672.03,1801.07,1218.14,0.940
474,7.900000,0,1637.58,1216.58,1483.18,671.83,1791.97,1216.58,0.939
475,7.916667,0,1634.74,1214.95,1486.92,671.09,1782.56,1214.95,0.942
476,7.933333,0,1632.78,1213.92,1490.55,670.21,1775.01,1213.92,0.938
477,7.950000,0,1629.81,1212.46,1493.57,670.08,1766.06,1212.46,0.935
478,7.966667,0,1626.86,1211.38,1497.53,668.05,1756.19,1211.38,0.930
479,7.983333,0,1623.45,1204.66,1502.56,669.03,1744.35,1204.66,0.925
480,8.000000,0,1619.44,1200.22,1506.05,668.40,1732.84,1200.22,0.917
481,8.016667,0,1613.85,1194.68,1510.42,667.47,1717.28,1194.68,0.909
482,8.033333,0,1607.22,1188.46,1511.28,665.83,1703.16,1188.46,0.893
483,8.050000,0,1599.72,1189.43,1512.13,665.56,1687.32,1189.43,0.877
484,8.066667,0,1595.58,1185.46,1513.02,663.35,1678.15,1185.46,0.871
485,8.083333,0,1588.24,1177.13,1512.93,662.99,1663.56,1177.13,0.887
486,8.100000,0,1581.93,1165.24,1507.14,661.01,1656.72,1165.24,0.884
487,8.116667,0,1574.52,1152.24,1499.17,660.35,1649.87,1152.24,0.870
488,8.133333,0,1570.22,1152.69,1492.70,657.74,1647.74,1152.69,0.879
489,8.150000,0,1563.68,1150.92,1484.40,658.66,1642.96,1150.92,0.869
490,8.166667,0,1557.59,1153.48,1478.27,657.71,1636.92,1153.48,0.868
491,8.183333,0,1552.50,1161.26,1473.38,659.20,1631.61,1161.26,0.883
492,8.200000,0,1547.55,1158.28,1466.45,660.47,1628.65,1158.28,0.882
493,8.216667,0,1540.43,1156.15,1457.91,661.82,1622.95,1156.15,0.885
494,8.233333,0,1531.74,1157.99,1442.82,663.16,1620.66,1157.99,0.898
495,8.250000,0,1522.16,1158.90,1426.46,664.79,1617.86,1158.90,0.891
496,8.266667,0,1512.70,1155.62,1414.31,665.58,1611.09,1155.62,0.901
497,8.283333,0,1505.03,1158.97,1403.19,665.94,1606.87,1158.97,0.893
498,8.300000,0,1498.25,1157.92,1392.02,666.31,1604.48,1157.92,0.893
499,8.316667,0,1492.93,1159.91,1384.34,666.93,1601.53,1159.91,0.893
500,8.333333,0,1489.43,1160.50,1378.62,667.52,1600.23,1160.50,0.896
501,8.350000,0,1484.68,1161.69,1370.58,669.47,1598.78,1161.69,0.905
502,8.366667,0,1482.02,1161.49,1365.53,670.81,1598.51,1161.49,0.916
503,8.383333,0,1483.44,1161.85,1365.09,672.99,1601.79,1161.85,0.904
504,8.400000,0,1483.93,1162.15,1364.48,672.14,1603.38,1162.15,0.909
505,8.416667,0,1481.52,1160.16,1362.85,673.43,1600.19,1160.16,0.917
506,8.433333,0,1483.59,1158.29,1365.24,673.82,1601.95,1158.29,0.902
507,8.450000,0,1482.15,1160.26,1364.53,673.74,1599.77,1160.26,0.906
508,8.466667,0,1483.24,1159.24,1365.49,673.28,1600.98,1159.24,0.913
509,8.483333,0,1484.66,1153.12,1365.84,672.71,1603.47,1153.12,0.913
510,8.500000,0,1484.30,1146.92,1366.03,671.92,1602.56,1146.92,0.915
511,8.516667,0,1483.22,1144.35,1365.06,672.52,1601.38,1144.35,0.916
512,8.533333,0,1479.75,1141.63,1364.22,672.38,1595.28,1141.63,0.913
513,8.550000,0,1477.00,1142.62,1364.11,670.35,1589.89,1142.62,0.905
514,8.566667,0,1473.52,1145.40,1365.26,669.65,1581.77,1145.40,0.903
515,8.583333,0,1469.09,1138.75,1365.34,667.70,1572.84,1138.75,0.910
516,8.600000,0,1463.29,1134.00,1364.53,665.74,1562.05,1134.00,0.892
517,8.616667,0,1456.58,1130.67,1360.49,665.39,1552.66,1130.67,0.883
518,8.633333,0,1446.94,1121.17,1352.28,666.10,1541.60,1121.17,0.883
519,8.650000,0,1438.91,1118.46,1343.72,664.73,1534.10,1118.46,0.900
520,8.666667,0,1431.23,1118.43,1337.08,662.38,1525.38,1118.43,0.905
521,8.683333,0,1420.77,1111.25,1326.28,662.85,1515.26,1111.25,0.893
522,8.700000,0,1411.90,1107.64,1319.31,663.00,1504.49,1107.64,0.874
523,8.716667,0,1402.07,1103.16,1312.73,661.96,1491.41,1103.16,0.873
524,8.733333,0,1392.09,1100.79,1302.45,661.56,1481.73,1100.79,0.894
525,8.750000,0,1386.12,1093.80,1294.92,661.25,1477.33,1093.80,0.905
526,8.766667,0,1381.31,1099.59,1287.34,661.04,1475.28,1099.59,0.917
527,8.783333,0,1378.17,1099.57,1280.01,660.74,1476.33,1099.57,0.918
528,8.800000,0,1376.38,1103.64,1273.26,661.96,1479.50,1103.64,0.916
529,8.816667,0,1374.83,1104.21,1267.41,662.98,1482.25,1104.21,0.921
530,8.833333,0,1374.42,1103.66,1263.64,664.84,1485.20,1103.66,0.919
531,8.850000,0,1370.97,1103.81,1254.27,665.05,1487.67,1103.81,0.915
532,8.866667,0,1370.17,1103.89,1249.85,664.65,1490.50,1103.89,0.921
533,8.883333,0,1368.73,1102.28,1246.84,665.90,1490.62,1102.28,0.917
534,8.900000,0,1365.32,1104.50,1239.37,667.43,1491.26,1104.50,0.908
535,8.916667,0,1362.48,1109.62,1234.51,667.95,1490.44,1109.62,0.919
536,8.933333,0,1359.37,1111.69,1230.53,670.08,1488.21,1111.69,0.920
537,8.950000,0,1356.44,1110.47,1226.10,670.77,1486.78,1110.47,0.933
538,8.966667,0,1354.56,1109.72,1224.58,670.16,1484.54,1109.72,0.937
539,8.983333,0,1352.68,1108.74,1222.03,669.62,1483.34,1108.74,0.937
540,9.000000,0,1347.29,1106.28,1217.36,669.27,1477.21,1106.28,0.935
541,9.016667,0,1345.27,1104.04,1217.31,668.10,1473.23,1104.04,0.930
542,9.033333,0,1341.78,1101.67,1215.26,667.97,1468.30,1101.67,0.931
543,9.050000,0,1338.40,1101.51,1215.22,668.33,1461.58,1101.51,0.925
544,9.066667,0,1335.26,1097.04,1214.89,667.94,1455.64,1097.04,0.921
545,9.083333,0,1331.55,1093.34,1214.34,667.03,1448.75,1093.34,0.917
546,9.100000,0,1329.76,1092.61,1214.83,666.76,1444.69,1092.61,0.903
