frame,time_seconds,track_id,u,v,world_x,world_y,world_z,cam_pos_x,cam_pos_y,cam_pos_z
421,7.016667,0,1886.85,1289.84,-4.149962269112711,0.0,-61.58261205642136,-0.0428724938752618,1.3891819993979928,0.0465404341752486
422,7.033333,0,1875.17,1283.13,-4.137130175752468,0.0,-61.444612094453184,-0.0429662521248036,1.389151900601986,0.0467491858248972
423,7.05,0,1859.74,1288.14,-4.124298082392223,0.0,-61.30661213248501,-0.0429816999999971,1.3891225999999708,0.0468432120000475
424,7.066667,0,1851.99,1284.37,-4.096679614391121,0.0,-61.1275063766921,-0.0429776270170593,1.389080598728052,0.0469112468547859
425,7.083333,0,1842.37,1279.69,-4.06906114639002,0.0,-60.94840062089919,-0.0429784799829395,1.3890170012720369,0.0469039861452242
426,7.1,0,1834.76,1268.78,-4.066560685635683,0.0,-60.927882886448145,-0.0429724200000021,1.3889248000000325,0.0468590260000157
427,7.116667,0,1828.76,1261.52,-4.064060224881347,0.0,-60.9073651519971,-0.0430166157273815,1.3888216974860146,0.0471716292432044
428,7.133333,0,1823.26,1258.29,-4.0639528460589265,0.0,-60.79740247338199,-0.0430029852726184,1.3886960025139854,0.0471337907567955
429,7.15,0,1819.77,1251.64,-4.063845467236506,0.0,-60.68743979476688,-0.042962282999981,1.3885535999999503,0.0469438619999147
430,7.166667,0,1816.85,1249.92,-4.061973245061351,0.0,-60.68577655454283,-0.0429081236640611,1.3884120973399223,0.0466996749218522
431,7.183333,0,1814.96,1248.56,-4.0601010228861965,-2.220446049250313e-16,-60.684113314318765,-0.0428413313358455,1.3882791026598915,0.0464457850777931
432,7.2,0,1814.5,1246.88,-4.053175130129915,2.220446049250313e-16,-60.68014229456894,-0.0427591650000573,1.3881605000000827,0.0461792460001861
433,7.216667,0,1814.36,1245.22,-4.046249237373634,2.220446049250313e-16,-60.67617127481911,-0.0428052687275296,1.3881079987000302,0.046306377680754
434,7.233333,0,1813.15,1245.49,-4.044052786593306,0.0,-60.566252135782435,-0.0427416462725148,1.3880430013000151,0.046190417319327
435,7.25,0,1811.98,1244.77,-4.0418563358129775,2.220446049250313e-16,-60.45633299674576,-0.042635456,1.3879789,0.045997635
436,7.266667,0,1811.92,1245.34,-4.034211615547591,0.0,-60.415575668697215,-0.0425055301213464,1.3879171989079873,0.0457781806308491
437,7.283333,0,1811.3,1245.15,-4.026566895282205,-2.220446049250313e-16,-60.37481834064867,-0.0423616048785529,1.3878626010919746,0.0455597343689982
438,7.3,0,1810.1,1244.94,-4.034211615547591,0.0,-60.297720064121116,-0.0421981200000456,1.3878237000000453,0.045373578000256
439,7.316667,0,1809.08,1243.98,-4.0418563358129775,2.220446049250313e-16,-60.22062178759356,-0.042263450108737,1.387888700807967,0.0457401288018673
440,7.333333,0,1808.55,1244.15,-4.044052786593306,2.220446049250313e-16,-60.190048711298545,-0.042168886891395,1.3879290991919766,0.0457802221980766
441,7.35,0,1808.07,1243.42,-4.046249237373634,0.0,-60.15947563500354,-0.0420322870000477,1.38795789999999,0.0457251500000192
442,7.366667,0,1806.58,1243.58,-4.053175130129915,0.0,-59.73523643886935,-0.0418833069463577,1.3879812002719984,0.0456371878182127
443,7.383333,0,1807.32,1242.74,-4.0601010228861965,0.0,-59.31099724273517,-0.0417306300536422,1.3879947997280015,0.0455281021817873
444,7.4,0,1807.89,1243.12,-4.061973245061351,0.0,-59.16782238310929,-0.0415785400000664,1.388002500000066,0.0454184200001418
445,7.416667,0,1808.5,1264.85,-4.063845467236506,0.0,-59.02464752348341,-0.0417687966898909,1.3881912020000582,0.0458244612128352
446,7.433333,0,1802.69,1256.85,-4.0639528460589265,2.220446049250313e-16,-59.02151798508519,-0.0417532923100873,1.3882911980000816,0.0458850987872494
447,7.45,0,1795.59,1247.57,-4.064060224881347,0.0,-59.01838844668697,-0.0416765800000535,1.3883604999999517,0.0458316060000373
448,7.466667,0,1787.64,1238.74,-4.066560685635683,0.0,-58.94877789267194,-0.041584415192022,1.388421401199972,0.0457445622259613
449,7.483333,0,1770.11,1224.88,-4.06906114639002,0.0,-58.87916733865692,-0.041494017808041,1.3884813987999862,0.0456558617741006
450,7.5,0,1757.05,1234.71,-4.079146415748973,0.0,-58.86419080460024,-0.04141334,1.3885413,0.045576338
451,7.516667,0,1748.08,1221.6,-4.089231685107927,0.0,-58.84921427054356,-0.0416521894499768,1.388538801022012,0.0460156220292236
452,7.533333,0,1737.11,1211.62,-4.103342736331335,0.0,-58.821170653905234,-0.0417246845500737,1.3885898989780237,0.0461170779708472
453,7.55,0,1728.71,1232.57,-4.117453787554744,0.0,-58.793127037266906,-0.0417495400000054,1.3886731000000736,0.04609314699995
454,7.566667,0,1718.45,1235.27,-4.1181299044988435,0.0,-58.561747470146344,-0.0417573859449422,1.388778202339905,0.0460216585047009
455,7.583333,0,1710.55,1235.12,-4.118806021442943,0.0,-58.330367903025774,-0.0417546330550616,1.388895197659932,0.0459468934954035
456,7.6,0,1705.29,1235.92,-4.121552051917583,0.0,-58.30823911773115,-0.0417461430000029,1.3890077999999606,0.0458901670000198
457,7.616667,0,1702.69,1235.74,-4.124298082392223,0.0,-58.28611033243652,-0.0422627519020172,1.3889313008879949,0.0462708225965848
